日期,臺北市,新北市,基隆市,桃園市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣,金門縣,連江縣
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-03,-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-99,0.5,0.0,0.0,0.0
2005-01-04,0.1,0.1,1.0,0.0,-99,2.0,0.6,0.0,6.8,1.5,1.0,19.1,-99,-99,0.0,0.5,0.5,0.5,0.0,0.0,0.0
2005-01-05,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0
2005-01-06,0.0,0.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0
2005-01-07,-99,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0
2005-01-08,0.9,2.5,14.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2005-01-09,3.1,0.3,21.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5.5,0.0,0.0,0.0,11.9,1.5,0.5,0.0,0.0,0.0
2005-01-10,0.9,1.0,34.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7.0,0.0,-99,1.0,17.4,0.0,-99,0.0,0.0,0.0
2005-01-11,6.2,1.5,36.0,0.0,-99,0.5,0.1,0.0,0.8,0.0,-99,0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,0.0
2005-01-12,-99,0.5,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,-99,0.0,0.0,0.0,0.0
2005-01-13,35.2,28.5,58.3,38.0,22.8,31.0,14.0,7.5,17.9,10.0,6.0,7.5,4.0,0.0,7.0,17.4,3.5,2.0,9.4,0.3,6.5
2005-01-14,8.6,21.0,46.5,11.0,5.8,6.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-99,0.9,0.5,0.0,0.0,0.0,0.5
2005-01-15,0.2,1.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0.0,0.0,0.0,0.0,0.0
2005-01-19,-99,0.0,18.0,0.5,-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
2005-01-20,1.0,0.2,19.0,0.0,-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0
2005-01-22,9.5,4.0,3.3,2.0,4.0,6.0,2.9,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,1.3,0.4,-99,0.5
2005-01-23,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2005-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-26,-99,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0
2005-01-27,0.0,0.2,0.7,0.0,-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.4,2.5,0.8,2.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.3,0.0
2005-01-29,-99,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,2.5,0.0,0.0,0.0,0.0
2005-01-30,0.3,2.0,38.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.5,0.0,0.0,0.2,2.0
2005-01-31,4.6,3.5,12.5,1.0,0.4,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-99,0.0,1.1,4.0,0.2,0.0,0.0,0.0
2005-02-01,0.8,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
2005-02-02,8.0,7.5,16.0,7.5,5.6,3.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,-99,0.0,3.2,2.0,0.0,-99,-99,2.0
2005-02-03,4.4,5.5,13.5,3.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.5,0.0,0.0,1.1,5.5
2005-02-04,3.8,1.5,0.6,1.5,2.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0,0.2,4.5
2005-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
2005-02-06,0.7,0.5,0.2,1.5,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,-99,0.5
2005-02-07,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,0.0,0.0,0.0
2005-02-08,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,4.0,0.0,0.0,0.0,0.5
2005-02-09,0.0,0.0,0.5,0.5,-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5
2005-02-10,0.0,1.0,33.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-99,0.0,0.0,0.0,10.5
2005-02-11,-99,-99,10.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.5
2005-02-12,0.6,0.5,12.5,0.5,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0.0,0.0,0.0,0.0,0.0
