日期,臺北市,新北市,基隆市,桃園市,新竹縣,苗栗縣,臺中市,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,澎湖縣,金門縣,連江縣
2005-01-01,62,72,58,-99,66,-99,57,-99,89,-99,58,92,50,54,69,58,75,72,62,44,55
2005-01-02,70,77,73,-99,70,-99,65,-99,77,-99,69,95,61,60,61,65,75,63,68,61,67
2005-01-03,78,83,76,-99,81,-99,73,-99,75,-99,73,95,66,62,67,69,76,66,77,74,80
2005-01-04,83,83,76,-99,79,-99,81,-99,91,-99,76,100,70,74,73,77,85,78,75,59,70
2005-01-05,84,81,83,-99,76,-99,74,-99,85,-99,75,100,70,73,66,83,81,68,77,67,76
2005-01-06,83,85,82,-99,81,-99,76,-99,80,-99,78,96,73,76,69,77,77,68,77,72,78
2005-01-07,84,83,85,-99,79,-99,76,-99,74,-99,76,96,72,75,67,83,76,68,76,64,68
2005-01-08,86,88,81,-99,80,-99,74,-99,77,-99,74,97,69,74,68,80,72,68,76,64,73
2005-01-09,87,86,80,-99,79,-99,73,-99,91,-99,73,100,69,75,69,82,74,69,75,63,70
2005-01-10,88,89,85,-99,81,-99,78,-99,85,-99,75,100,71,73,69,82,76,70,77,62,72
2005-01-11,88,89,87,-99,83,-99,84,-99,84,-99,78,100,74,74,71,90,77,69,83,69,77
2005-01-12,85,87,84,-99,82,-99,80,-99,80,-99,77,96,72,77,70,82,79,71,80,73,82
2005-01-13,93,93,87,-99,87,-99,92,-99,98,-99,84,99,81,78,76,88,83,72,89,78,89
2005-01-14,88,93,81,-99,86,-99,85,-99,99,-99,79,88,78,80,81,74,74,69,78,66,76
2005-01-15,71,78,61,-99,67,-99,72,-99,94,-99,70,92,66,69,77,63,68,67,65,48,58
2005-01-16,68,76,55,-99,63,-99,58,-99,78,-99,65,82,57,59,64,61,64,61,60,52,54
2005-01-17,64,72,61,-99,64,-99,72,-99,70,-99,70,71,61,64,61,62,64,57,70,57,60
2005-01-18,74,83,76,-99,76,-99,70,-99,65,-99,71,86,66,65,66,69,69,61,85,69,69
2005-01-19,81,86,84,-99,80,-99,77,-99,70,-99,74,89,72,68,75,72,74,62,85,70,69
2005-01-20,84,85,84,-99,82,-99,78,-99,66,-99,77,93,75,78,69,76,70,67,85,66,70
2005-01-21,84,80,83,-99,77,-99,80,-99,72,-99,78,79,75,78,72,83,72,67,89,67,74
2005-01-22,84,91,80,-99,87,-99,86,-99,76,-99,83,91,76,80,77,75,78,77,91,82,88
2005-01-23,76,76,72,-99,75,-99,79,-99,78,-99,76,77,71,76,79,69,82,74,82,75,83
2005-01-24,74,86,76,-99,79,-99,75,-99,76,-99,74,63,69,72,74,70,77,74,84,75,80
2005-01-25,74,86,77,-99,80,-99,73,-99,75,-99,71,83,69,76,79,71,77,75,87,83,86
2005-01-26,85,82,89,-99,79,-99,81,-99,86,-99,78,74,75,78,75,86,78,73,92,79,86
2005-01-27,84,93,86,-99,88,-99,84,-99,75,-99,78,73,73,77,78,75,79,75,91,82,92
2005-01-28,89,95,84,-99,89,-99,86,-99,81,-99,82,84,78,75,76,72,87,76,91,91,91
