Country,Year,Delta
Canada,1966,Infinity
Canada,1967,100.000
Canada,1968,0.000
Canada,1969,350.000
Canada,1970,-44.444
Canada,1971,100.000
Canada,1972,330.000
Canada,1973,67.442
Canada,1974,112.500
Canada,1975,-3.922
Canada,1976,-14.286
Canada,1977,38.095
Canada,1978,51.149
Canada,1979,18.631
Canada,1980,13.141
Canada,1981,7.649
Canada,1982,5.526
Canada,1983,-4.489
Canada,1984,26.893
Canada,1985,7.407
Canada,1986,15.900
Canada,1987,17.851
Canada,1988,8.415
Canada,1989,7.245
Canada,1990,-4.343
Canada,1991,-8.575
Canada,1992,16.276
Canada,1993,-5.101
Canada,1994,16.625
Canada,1995,14.791
Canada,1996,-9.244
Canada,1997,-5.247
Canada,1998,-10.966
Canada,1999,-13.415
Canada,2000,2.817
Canada,2001,-0.959
Canada,2002,5.394
Canada,2003,-1.575
Canada,2004,-0.800
Canada,2005,20.699
Canada,2006,1.782
Canada,2007,6.455
Canada,2008,-4.625
Canada,2009,2.802
Canada,2010,-6.184
Canada,2011,0.559
Canada,2012,3.222
Canada,2013,1.399
Canada,2014,9.023
Canada,2015,3.700
Canada,2016,-5.070
Canada,2017,-0.396
Canada,2018,-0.099
Canada,2019,-0.596
Canada,2020,0.500
Mexico,1990,Infinity
Mexico,1991,625.000
Mexico,1992,44.828
Mexico,1993,-7.143
Mexico,1994,25.641
Mexico,1995,-14.286
Mexico,1996,100.000
Mexico,1997,-5.952
Mexico,1998,32.911
Mexico,1999,-11.429
Mexico,2000,7.527
Mexico,2001,-18.000
Mexico,2002,6.098
Mexico,2003,11.494
Mexico,2004,8.247
Mexico,2005,-12.381
Mexico,2006,17.391
Mexico,2007,0.926
Mexico,2008,-4.587
Mexico,2009,-5.769
Mexico,2010,7.143
Mexico,2011,-43.810
Mexico,2012,71.186
Mexico,2013,-12.871
Mexico,2014,34.091
Mexico,2015,-17.797
Mexico,2016,19.588
Mexico,2017,-8.621
Mexico,2018,2.830
Mexico,2019,24.771
Mexico,2020,-16.912
US,1966,Infinity
US,1967,52.632
US,1968,39.655
US,1969,62.963
US,1970,11.364
US,1971,56.463
US,1972,74.348
US,1973,41.895
US,1974,54.482
US,1975,36.519
US,1976,51.333
US,1977,10.793
US,1978,31.262
US,1979,10.186
US,1980,-7.698
US,1981,-1.601
US,1982,8.589
US,1983,3.728
US,1984,3.829
US,1985,11.582
US,1986,17.106
US,1987,7.898
US,1988,9.959
US,1989,15.755
US,1990,0.451
US,1991,8.973
US,1992,6.192
US,1993,1.008
US,1994,-1.366
US,1995,4.935
US,1996,5.148
US,1997,0.198
US,1998,-6.829
US,1999,7.178
US,2000,8.094
US,2001,3.522
US,2002,1.978
US,2003,1.458
US,2004,-2.095
US,2005,3.247
US,2006,-0.831
US,2007,0.680
US,2008,2.438
US,2009,-0.035
US,2010,-0.907
US,2011,1.011
US,2012,-2.072
US,2013,-2.645
US,2014,2.556
US,2015,1.036
US,2016,0.000
US,2017,1.073
US,2018,-0.094
US,2019,0.271
US,2020,0.282
Argentina,1975,Infinity
Argentina,1976,150.000
Argentina,1977,4.000
Argentina,1978,-38.462
Argentina,1979,81.250
Argentina,1980,-6.897
Argentina,1981,-14.815
Argentina,1982,21.739
Argentina,1983,-32.143
Argentina,1984,78.947
Argentina,1985,35.294
Argentina,1986,26.087
Argentina,1987,-1.724
Argentina,1988,14.035
Argentina,1989,-10.769
Argentina,1990,-13.793
Argentina,1991,46.000
Argentina,1992,6.849
Argentina,1993,-8.974
Argentina,1994,9.859
Argentina,1995,5.128
Argentina,1996,-13.415
Argentina,1997,5.634
Argentina,1998,6.667
Argentina,1999,-6.250
Argentina,2000,-5.333
Argentina,2001,-12.676
Argentina,2002,14.516
Argentina,2003,-18.310
Argentina,2004,31.034
Argentina,2005,3.947
Argentina,2006,-12.658
Argentina,2007,11.594
Argentina,2008,-5.195
Argentina,2009,1.370
Argentina,2010,10.811
Argentina,2011,-12.195
Argentina,2012,-11.111
Argentina,2013,0.000
Argentina,2014,-3.125
Argentina,2015,-11.290
Argentina,2016,27.273
Argentina,2017,18.571
Argentina,2018,-26.506
Argentina,2019,13.115
Argentina,2020,21.739
Brazil,1985,Infinity
Brazil,1986,112.500
Brazil,1987,-97.059
Brazil,1988,900.000
Brazil,1989,-40.000
Brazil,1990,200.000
Brazil,1991,22.222
Brazil,1992,-36.364
Brazil,1993,28.571
Brazil,1994,-77.778
Brazil,1995,-75.000
Brazil,1996,2400.000
Brazil,1997,-4.000
Brazil,1998,33.333
Brazil,1999,3.125
Brazil,2000,21.212
Brazil,2001,50.000
Brazil,2002,138.333
Brazil,2003,-3.497
Brazil,2004,-2.899
Brazil,2005,-13.433
Brazil,2006,-14.655
Brazil,2007,39.394
Brazil,2008,-10.870
Brazil,2009,13.821
Brazil,2010,-7.143
Brazil,2011,11.538
Brazil,2012,8.276
Brazil,2013,1.911
Brazil,2014,-3.750
Brazil,2015,0.000
Brazil,2016,-4.545
Brazil,2017,8.163
Brazil,2018,-1.258
Brazil,2019,0.000
Brazil,2020,3.185
Belgium,1967,Infinity
Belgium,1968,100.000
Belgium,1969,0.000
Belgium,1970,-50.000
Belgium,1971,100.000
Belgium,1973,-50.000
Belgium,1974,100.000
Belgium,1975,0.000
Belgium,1976,6700.000
Belgium,1977,47.059
Belgium,1978,19.000
Belgium,1979,5.042
Belgium,1980,-8.800
Belgium,1981,9.649
Belgium,1982,3.200
Belgium,1983,21.705
Belgium,1984,53.503
Belgium,1985,14.938
Belgium,1986,24.910
Belgium,1987,13.873
Belgium,1988,6.599
Belgium,1989,2.619
Belgium,1990,-4.408
Belgium,1991,3.641
Belgium,1992,0.468
Belgium,1993,1.399
Belgium,1994,-3.678
Belgium,1995,-3.103
Belgium,1996,1.970
Belgium,1997,4.589
Belgium,1998,9.469
Belgium,1999,-2.532
Belgium,2000,6.061
Belgium,2001,-1.633
Belgium,2002,-3.942
Belgium,2003,2.376
Belgium,2004,0.000
Belgium,2005,-0.211
Belgium,2006,0.634
Belgium,2007,-2.101
Belgium,2008,3.433
Belgium,2009,-5.394
Belgium,2010,3.509
Belgium,2011,1.483
Belgium,2012,0.626
Belgium,2013,-16.390
Belgium,2014,5.707
Belgium,2015,-20.892
Belgium,2016,-22.552
Belgium,2017,66.667
Belgium,2018,-2.989
Belgium,2019,-32.227
Belgium,2020,53.147
Bulgaria,1975,Infinity
Bulgaria,1976,188.889
Bulgaria,1977,92.308
Bulgaria,1978,18.000
Bulgaria,1979,0.000
Bulgaria,1980,5.085
Bulgaria,1981,0.000
Bulgaria,1982,46.774
Bulgaria,1983,17.582
Bulgaria,1984,14.953
Bulgaria,1985,3.252
Bulgaria,1986,3.150
Bulgaria,1987,-7.634
Bulgaria,1988,2.479
Bulgaria,1989,29.032
Bulgaria,1990,-8.750
Bulgaria,1991,0.685
Bulgaria,1992,-10.204
Bulgaria,1993,-12.121
Bulgaria,1994,20.690
Bulgaria,1995,9.286
Bulgaria,1996,13.072
Bulgaria,1997,4.624
Bulgaria,1998,-1.657
Bulgaria,1999,-5.056
Bulgaria,2000,-6.509
Bulgaria,2001,15.190
Bulgaria,2002,7.692
Bulgaria,2003,3.061
Bulgaria,2004,-14.356
Bulgaria,2005,-2.890
Bulgaria,2006,11.310
Bulgaria,2007,4.278
Bulgaria,2008,-25.128
Bulgaria,2009,8.219
Bulgaria,2010,-3.165
Bulgaria,2011,-0.654
Bulgaria,2012,7.237
Bulgaria,2013,-3.067
Bulgaria,2014,-10.127
Bulgaria,2015,11.972
Bulgaria,2016,-3.145
Bulgaria,2017,2.597
Bulgaria,2018,-1.899
Bulgaria,2019,3.871
Bulgaria,2020,3.106
Czech Republic,1984,Infinity
Czech Republic,1985,500.000
Czech Republic,1986,100.000
Czech Republic,1987,154.167
Czech Republic,1988,75.410
Czech Republic,1989,10.280
Czech Republic,1990,5.085
Czech Republic,1991,1.613
Czech Republic,1992,-3.968
Czech Republic,1993,1.653
Czech Republic,1994,2.439
Czech Republic,1995,3.175
Czech Republic,1996,-6.154
Czech Republic,1997,5.738
Czech Republic,1998,-3.101
Czech Republic,1999,5.600
Czech Republic,2000,1.515
Czech Republic,2001,1.493
Czech Republic,2002,8.088
Czech Republic,2003,27.211
Czech Republic,2004,38.503
Czech Republic,2005,1.544
Czech Republic,2006,-6.084
Czech Republic,2007,5.263
Czech Republic,2008,0.769
Czech Republic,2009,1.527
Czech Republic,2010,2.256
Czech Republic,2011,2.941
Czech Republic,2012,1.071
Czech Republic,2013,7.067
Czech Republic,2014,1.320
Czech Republic,2015,-1.303
Czech Republic,2016,-11.551
Czech Republic,2017,-10.075
Czech Republic,2018,17.427
Czech Republic,2019,5.654
Czech Republic,2020,1.003
Finland,1978,Infinity
Finland,1979,23.077
Finland,1980,109.375
Finland,1981,4.478
Finland,1982,108.571
Finland,1983,14.384
Finland,1984,5.389
Finland,1985,6.250
Finland,1986,1.070
Finland,1987,0.000
Finland,1988,3.175
Finland,1989,-0.513
Finland,1990,-2.062
Finland,1991,0.526
Finland,1992,1.571
Finland,1993,-1.546
Finland,1994,3.665
Finland,1995,-2.525
Finland,1996,-1.036
Finland,1997,3.141
Finland,1998,7.107
Finland,1999,4.739
Finland,2000,4.977
Finland,2001,-2.155
Finland,2002,1.322
