Country,Year,TWh
Canada,1965,0.1
Canada,1966,0.2
Canada,1967,0.2
Canada,1968,0.9
Canada,1969,0.5
Canada,1970,1
Canada,1971,4.3
Canada,1972,7.2
Canada,1973,15.3
Canada,1974,14.7
Canada,1975,12.6
Canada,1976,17.4
Canada,1977,26.3
Canada,1978,31.2
Canada,1979,35.3
Canada,1980,38
Canada,1981,40.1
Canada,1982,38.3
Canada,1983,48.6
Canada,1984,52.2
Canada,1985,60.5
Canada,1986,71.3
Canada,1987,77.3
Canada,1988,82.9
Canada,1989,79.3
Canada,1990,72.5
Canada,1991,84.3
Canada,1992,80
Canada,1993,93.3
Canada,1994,107.1
Canada,1995,97.2
Canada,1996,92.1
Canada,1997,82
Canada,1998,71
Canada,1999,73
Canada,2000,72.3
Canada,2001,76.2
Canada,2002,75
Canada,2003,74.4
Canada,2004,89.8
Canada,2005,91.4
Canada,2006,97.3
Canada,2007,92.8
Canada,2008,95.4
Canada,2009,89.5
Canada,2010,90
Canada,2011,92.9
Canada,2012,94.2
Canada,2013,102.7
Canada,2014,106.5
Canada,2015,101.1
Canada,2016,100.7
Canada,2017,100.6
Canada,2018,100
Canada,2019,100.5
Mexico,1989,0.4
Mexico,1990,2.9
Mexico,1991,4.2
Mexico,1992,3.9
Mexico,1993,4.9
Mexico,1994,4.2
Mexico,1995,8.4
Mexico,1996,7.9
Mexico,1997,10.5
Mexico,1998,9.3
Mexico,1999,10
Mexico,2000,8.2
Mexico,2001,8.7
Mexico,2002,9.7
Mexico,2003,10.5
Mexico,2004,9.2
Mexico,2005,10.8
Mexico,2006,10.9
Mexico,2007,10.4
Mexico,2008,9.8
Mexico,2009,10.5
Mexico,2010,5.9
Mexico,2011,10.1
Mexico,2012,8.8
Mexico,2013,11.8
Mexico,2014,9.7
Mexico,2015,11.6
Mexico,2016,10.6
Mexico,2017,10.9
Mexico,2018,13.6
Mexico,2019,11.3
US,1965,3.8
US,1966,5.8
US,1967,8.1
US,1968,13.2
US,1969,14.7
US,1970,23
US,1971,40.1
US,1972,56.9
US,1973,87.9
US,1974,120
US,1975,181.6
US,1976,201.2
US,1977,264.1
US,1978,291
US,1979,268.6
US,1980,264.3
US,1981,287
US,1982,297.7
US,1983,309.1
US,1984,344.9
US,1985,403.9
US,1986,435.8
US,1987,479.2
US,1988,554.7
US,1989,557.2
US,1990,607.2
US,1991,644.8
US,1992,651.3
US,1993,642.4
US,1994,674.1
US,1995,708.8
US,1996,710.2
US,1997,661.7
US,1998,709.2
US,1999,766.6
US,2000,793.6
US,2001,809.3
US,2002,821.1
US,2003,803.9
US,2004,830
US,2005,823.1
US,2006,828.7
US,2007,848.9
US,2008,848.6
US,2009,840.9
US,2010,849.4
US,2011,831.8
US,2012,809.8
US,2013,830.5
US,2014,839.1
US,2015,839.1
US,2016,848.1
US,2017,847.3
US,2018,849.6
US,2019,852
Argentina,1974,1
Argentina,1975,2.5
Argentina,1976,2.6
Argentina,1977,1.6
Argentina,1978,2.9
Argentina,1979,2.7
Argentina,1980,2.3
Argentina,1981,2.8
Argentina,1982,1.9
Argentina,1983,3.4
Argentina,1984,4.6
Argentina,1985,5.8
Argentina,1986,5.7
Argentina,1987,6.5
Argentina,1988,5.8
Argentina,1989,5
Argentina,1990,7.3
Argentina,1991,7.8
Argentina,1992,7.1
Argentina,1993,7.8
Argentina,1994,8.2
Argentina,1995,7.1
Argentina,1996,7.5
Argentina,1997,8
Argentina,1998,7.5
Argentina,1999,7.1
Argentina,2000,6.2
Argentina,2001,7.1
Argentina,2002,5.8
Argentina,2003,7.6
Argentina,2004,7.9
Argentina,2005,6.9
Argentina,2006,7.7
Argentina,2007,7.3
Argentina,2008,7.4
Argentina,2009,8.2
Argentina,2010,7.2
Argentina,2011,6.4
Argentina,2012,6.4
Argentina,2013,6.2
Argentina,2014,5.5
Argentina,2015,7
Argentina,2016,8.3
Argentina,2017,6.1
Argentina,2018,6.9
Argentina,2019,8.4
Brazil,1984,1.6
Brazil,1985,3.4
Brazil,1986,0.1
Brazil,1987,1
Brazil,1988,0.6
Brazil,1989,1.8
Brazil,1990,2.2
Brazil,1991,1.4
Brazil,1992,1.8
Brazil,1993,0.4
Brazil,1994,0.1
Brazil,1995,2.5
Brazil,1996,2.4
Brazil,1997,3.2
Brazil,1998,3.3
Brazil,1999,4
Brazil,2000,6
Brazil,2001,14.3
Brazil,2002,13.8
Brazil,2003,13.4
Brazil,2004,11.6
Brazil,2005,9.9
Brazil,2006,13.8
Brazil,2007,12.3
Brazil,2008,14
Brazil,2009,13
Brazil,2010,14.5
Brazil,2011,15.7
Brazil,2012,16
Brazil,2013,15.4
Brazil,2014,15.4
Brazil,2015,14.7
Brazil,2016,15.9
Brazil,2017,15.7
Brazil,2018,15.7
Brazil,2019,16.2
Belgium,1966,0.05
Belgium,1967,0.1
Belgium,1968,0.1
Belgium,1969,0.05
Belgium,1970,0.1
Belgium,1972,0.05
Belgium,1973,0.1
Belgium,1974,0.1
Belgium,1975,6.8
Belgium,1976,10
Belgium,1977,11.9
Belgium,1978,12.5
Belgium,1979,11.4
Belgium,1980,12.5
Belgium,1981,12.9
Belgium,1982,15.7
Belgium,1983,24.1
Belgium,1984,27.7
Belgium,1985,34.6
Belgium,1986,39.4
Belgium,1987,42
Belgium,1988,43.1
Belgium,1989,41.2
Belgium,1990,42.7
Belgium,1991,42.9
Belgium,1992,43.5
Belgium,1993,41.9
Belgium,1994,40.6
Belgium,1995,41.4
Belgium,1996,43.3
Belgium,1997,47.4
Belgium,1998,46.2
Belgium,1999,49
Belgium,2000,48.2
Belgium,2001,46.3
Belgium,2002,47.4
Belgium,2003,47.4
Belgium,2004,47.3
Belgium,2005,47.6
Belgium,2006,46.6
Belgium,2007,48.2
Belgium,2008,45.6
Belgium,2009,47.2
Belgium,2010,47.9
Belgium,2011,48.2
Belgium,2012,40.3
Belgium,2013,42.6
Belgium,2014,33.7
Belgium,2015,26.1
Belgium,2016,43.5
Belgium,2017,42.2
Belgium,2018,28.6
Belgium,2019,43.8
Bulgaria,1974,0.9
Bulgaria,1975,2.6
Bulgaria,1976,5
Bulgaria,1977,5.9
Bulgaria,1978,5.9
Bulgaria,1979,6.2
Bulgaria,1980,6.2
Bulgaria,1981,9.1
Bulgaria,1982,10.7
Bulgaria,1983,12.3
Bulgaria,1984,12.7
Bulgaria,1985,13.1
Bulgaria,1986,12.1
Bulgaria,1987,12.4
Bulgaria,1988,16
Bulgaria,1989,14.6
Bulgaria,1990,14.7
Bulgaria,1991,13.2
Bulgaria,1992,11.6
Bulgaria,1993,14
Bulgaria,1994,15.3
Bulgaria,1995,17.3
Bulgaria,1996,18.1
Bulgaria,1997,17.8
Bulgaria,1998,16.9
Bulgaria,1999,15.8
Bulgaria,2000,18.2
Bulgaria,2001,19.6
Bulgaria,2002,20.2
Bulgaria,2003,17.3
Bulgaria,2004,16.8
Bulgaria,2005,18.7
Bulgaria,2006,19.5
Bulgaria,2007,14.6
Bulgaria,2008,15.8
Bulgaria,2009,15.3
Bulgaria,2010,15.2
Bulgaria,2011,16.3
Bulgaria,2012,15.8
Bulgaria,2013,14.2
Bulgaria,2014,15.9
Bulgaria,2015,15.4
Bulgaria,2016,15.8
Bulgaria,2017,15.5
Bulgaria,2018,16.1
Bulgaria,2019,16.6
Czech Republic,1983,0.2
Czech Republic,1984,1.2
Czech Republic,1985,2.4
Czech Republic,1986,6.1
Czech Republic,1987,10.7
Czech Republic,1988,11.8
Czech Republic,1989,12.4
Czech Republic,1990,12.6
Czech Republic,1991,12.1
Czech Republic,1992,12.3
Czech Republic,1993,12.6
Czech Republic,1994,13
Czech Republic,1995,12.2
Czech Republic,1996,12.9
Czech Republic,1997,12.5
Czech Republic,1998,13.2
Czech Republic,1999,13.4
