Country,Year,TWh
加拿大,1965,0.1
加拿大,1966,0.2
加拿大,1967,0.2
加拿大,1968,0.9
加拿大,1969,0.5
加拿大,1970,1
加拿大,1971,4.3
加拿大,1972,7.2
加拿大,1973,15.3
加拿大,1974,14.7
加拿大,1975,12.6
加拿大,1976,17.4
加拿大,1977,26.3
加拿大,1978,31.2
加拿大,1979,35.3
加拿大,1980,38
加拿大,1981,40.1
加拿大,1982,38.3
加拿大,1983,48.6
加拿大,1984,52.2
加拿大,1985,60.5
加拿大,1986,71.3
加拿大,1987,77.3
加拿大,1988,82.9
加拿大,1989,79.3
加拿大,1990,72.5
加拿大,1991,84.3
加拿大,1992,80
加拿大,1993,93.3
加拿大,1994,107.1
加拿大,1995,97.2
加拿大,1996,92.1
加拿大,1997,82
加拿大,1998,71
加拿大,1999,73
加拿大,2000,72.3
加拿大,2001,76.2
加拿大,2002,75
加拿大,2003,74.4
加拿大,2004,89.8
加拿大,2005,91.4
加拿大,2006,97.3
加拿大,2007,92.8
加拿大,2008,95.4
加拿大,2009,89.5
加拿大,2010,90
加拿大,2011,92.9
加拿大,2012,94.2
加拿大,2013,102.7
加拿大,2014,106.5
加拿大,2015,101.1
加拿大,2016,100.7
加拿大,2017,100.6
加拿大,2018,100
加拿大,2019,100.5
墨西哥,1989,0.4
墨西哥,1990,2.9
墨西哥,1991,4.2
墨西哥,1992,3.9
墨西哥,1993,4.9
墨西哥,1994,4.2
墨西哥,1995,8.4
墨西哥,1996,7.9
墨西哥,1997,10.5
墨西哥,1998,9.3
墨西哥,1999,10
墨西哥,2000,8.2
墨西哥,2001,8.7
墨西哥,2002,9.7
墨西哥,2003,10.5
墨西哥,2004,9.2
墨西哥,2005,10.8
墨西哥,2006,10.9
墨西哥,2007,10.4
墨西哥,2008,9.8
墨西哥,2009,10.5
墨西哥,2010,5.9
墨西哥,2011,10.1
墨西哥,2012,8.8
墨西哥,2013,11.8
墨西哥,2014,9.7
墨西哥,2015,11.6
墨西哥,2016,10.6
墨西哥,2017,10.9
墨西哥,2018,13.6
墨西哥,2019,11.3
美國,1965,3.8
美國,1966,5.8
美國,1967,8.1
美國,1968,13.2
美國,1969,14.7
美國,1970,23
美國,1971,40.1
美國,1972,56.9
美國,1973,87.9
美國,1974,120
美國,1975,181.6
美國,1976,201.2
美國,1977,264.1
美國,1978,291
美國,1979,268.6
美國,1980,264.3
美國,1981,287
美國,1982,297.7
美國,1983,309.1
美國,1984,344.9
美國,1985,403.9
美國,1986,435.8
美國,1987,479.2
美國,1988,554.7
美國,1989,557.2
美國,1990,607.2
美國,1991,644.8
美國,1992,651.3
美國,1993,642.4
美國,1994,674.1
美國,1995,708.8
美國,1996,710.2
美國,1997,661.7
美國,1998,709.2
美國,1999,766.6
美國,2000,793.6
美國,2001,809.3
美國,2002,821.1
美國,2003,803.9
美國,2004,830
美國,2005,823.1
美國,2006,828.7
美國,2007,848.9
美國,2008,848.6
美國,2009,840.9
美國,2010,849.4
美國,2011,831.8
美國,2012,809.8
美國,2013,830.5
美國,2014,839.1
美國,2015,839.1
美國,2016,848.1
美國,2017,847.3
美國,2018,849.6
美國,2019,852
阿根廷,1974,1
阿根廷,1975,2.5
阿根廷,1976,2.6
阿根廷,1977,1.6
阿根廷,1978,2.9
阿根廷,1979,2.7
阿根廷,1980,2.3
阿根廷,1981,2.8
阿根廷,1982,1.9
阿根廷,1983,3.4
阿根廷,1984,4.6
阿根廷,1985,5.8
阿根廷,1986,5.7
阿根廷,1987,6.5
阿根廷,1988,5.8
阿根廷,1989,5
阿根廷,1990,7.3
阿根廷,1991,7.8
阿根廷,1992,7.1
阿根廷,1993,7.8
阿根廷,1994,8.2
阿根廷,1995,7.1
阿根廷,1996,7.5
阿根廷,1997,8
阿根廷,1998,7.5
阿根廷,1999,7.1
阿根廷,2000,6.2
阿根廷,2001,7.1
阿根廷,2002,5.8
阿根廷,2003,7.6
阿根廷,2004,7.9
阿根廷,2005,6.9
阿根廷,2006,7.7
阿根廷,2007,7.3
阿根廷,2008,7.4
阿根廷,2009,8.2
阿根廷,2010,7.2
阿根廷,2011,6.4
阿根廷,2012,6.4
阿根廷,2013,6.2
阿根廷,2014,5.5
阿根廷,2015,7
阿根廷,2016,8.3
阿根廷,2017,6.1
阿根廷,2018,6.9
阿根廷,2019,8.4
巴西,1984,1.6
巴西,1985,3.4
巴西,1986,0.1
巴西,1987,1
巴西,1988,0.6
巴西,1989,1.8
巴西,1990,2.2
巴西,1991,1.4
巴西,1992,1.8
巴西,1993,0.4
巴西,1994,0.1
巴西,1995,2.5
巴西,1996,2.4
巴西,1997,3.2
巴西,1998,3.3
巴西,1999,4
巴西,2000,6
巴西,2001,14.3
巴西,2002,13.8
巴西,2003,13.4
巴西,2004,11.6
巴西,2005,9.9
巴西,2006,13.8
巴西,2007,12.3
巴西,2008,14
巴西,2009,13
巴西,2010,14.5
巴西,2011,15.7
巴西,2012,16
巴西,2013,15.4
巴西,2014,15.4
巴西,2015,14.7
巴西,2016,15.9
巴西,2017,15.7
巴西,2018,15.7
巴西,2019,16.2
比利時,1966,0.05
比利時,1967,0.1
比利時,1968,0.1
比利時,1969,0.05
比利時,1970,0.1
比利時,1972,0.05
比利時,1973,0.1
比利時,1974,0.1
比利時,1975,6.8
比利時,1976,10
比利時,1977,11.9
比利時,1978,12.5
比利時,1979,11.4
比利時,1980,12.5
比利時,1981,12.9
比利時,1982,15.7
比利時,1983,24.1
比利時,1984,27.7
比利時,1985,34.6
比利時,1986,39.4
比利時,1987,42
比利時,1988,43.1
比利時,1989,41.2
比利時,1990,42.7
比利時,1991,42.9
比利時,1992,43.5
比利時,1993,41.9
比利時,1994,40.6
比利時,1995,41.4
比利時,1996,43.3
比利時,1997,47.4
比利時,1998,46.2
比利時,1999,49
比利時,2000,48.2
比利時,2001,46.3
比利時,2002,47.4
比利時,2003,47.4
比利時,2004,47.3
比利時,2005,47.6
比利時,2006,46.6
比利時,2007,48.2
比利時,2008,45.6
比利時,2009,47.2
比利時,2010,47.9
比利時,2011,48.2
比利時,2012,40.3
比利時,2013,42.6
比利時,2014,33.7
比利時,2015,26.1
比利時,2016,43.5
比利時,2017,42.2
比利時,2018,28.6
比利時,2019,43.8
保加利亞,1974,0.9
保加利亞,1975,2.6
保加利亞,1976,5
保加利亞,1977,5.9
保加利亞,1978,5.9
保加利亞,1979,6.2
保加利亞,1980,6.2
保加利亞,1981,9.1
保加利亞,1982,10.7
保加利亞,1983,12.3
保加利亞,1984,12.7
保加利亞,1985,13.1
保加利亞,1986,12.1
保加利亞,1987,12.4
保加利亞,1988,16
保加利亞,1989,14.6
保加利亞,1990,14.7
保加利亞,1991,13.2
保加利亞,1992,11.6
保加利亞,1993,14
保加利亞,1994,15.3
保加利亞,1995,17.3
保加利亞,1996,18.1
保加利亞,1997,17.8
保加利亞,1998,16.9
保加利亞,1999,15.8
保加利亞,2000,18.2
保加利亞,2001,19.6
保加利亞,2002,20.2
保加利亞,2003,17.3
保加利亞,2004,16.8
保加利亞,2005,18.7
保加利亞,2006,19.5
保加利亞,2007,14.6
保加利亞,2008,15.8
保加利亞,2009,15.3
保加利亞,2010,15.2
保加利亞,2011,16.3
保加利亞,2012,15.8
保加利亞,2013,14.2
保加利亞,2014,15.9
保加利亞,2015,15.4
保加利亞,2016,15.8
保加利亞,2017,15.5
保加利亞,2018,16.1
保加利亞,2019,16.6
捷克共和國,1983,0.2
捷克共和國,1984,1.2
捷克共和國,1985,2.4
捷克共和國,1986,6.1
捷克共和國,1987,10.7
捷克共和國,1988,11.8
捷克共和國,1989,12.4
捷克共和國,1990,12.6
捷克共和國,1991,12.1
捷克共和國,1992,12.3
捷克共和國,1993,12.6
捷克共和國,1994,13
捷克共和國,1995,12.2
捷克共和國,1996,12.9
捷克共和國,1997,12.5
捷克共和國,1998,13.2
捷克共和國,1999,13.4
捷克共和國,2000,13.6
捷克共和國,2001,14.7
捷克共和國,2002,18.7
捷克共和國,2003,25.9
捷克共和國,2004,26.3
捷克共和國,2005,24.7
捷克共和國,2006,26
捷克共和國,2007,26.2
捷克共和國,2008,26.6
捷克共和國,2009,27.2
捷克共和國,2010,28
捷克共和國,2011,28.3
捷克共和國,2012,30.3
捷克共和國,2013,30.7
捷克共和國,2014,30.3
捷克共和國,2015,26.8
捷克共和國,2016,24.1
捷克共和國,2017,28.3
捷克共和國,2018,29.9
捷克共和國,2019,30.2
芬蘭,1977,2.6
芬蘭,1978,3.2
芬蘭,1979,6.7
芬蘭,1980,7
芬蘭,1981,14.6
芬蘭,1982,16.7
芬蘭,1983,17.6
芬蘭,1984,18.7
芬蘭,1985,18.9
芬蘭,1986,18.9
芬蘭,1987,19.5
芬蘭,1988,19.4
芬蘭,1989,19
芬蘭,1990,19.1
芬蘭,1991,19.4
芬蘭,1992,19.1
芬蘭,1993,19.8
芬蘭,1994,19.3
芬蘭,1995,19.1
芬蘭,1996,19.7
芬蘭,1997,21.1
芬蘭,1998,22.1
芬蘭,1999,23.2
芬蘭,2000,22.7
芬蘭,2001,23
芬蘭,2002,22.5
芬蘭,2003,23
芬蘭,2004,23
芬蘭,2005,23.5
芬蘭,2006,23.2
芬蘭,2007,23.7
芬蘭,2008,23.2
芬蘭,2009,23.8
芬蘭,2010,23
芬蘭,2011,23.4
芬蘭,2012,23.2
芬蘭,2013,23.9
芬蘭,2014,23.8
芬蘭,2015,23.5
芬蘭,2016,23.5
芬蘭,2017,22.7
芬蘭,2018,21.9
芬蘭,2019,22.9
法國,1965,0.9
法國,1966,1.4
法國,1967,2.1
法國,1968,3.1
法國,1969,3.6
法國,1970,5.7
法國,1971,9.3
法國,1972,14.6
法國,1973,14.8
法國,1974,14.7
法國,1975,18.2
法國,1976,15.8
法國,1977,17.9
法國,1978,30.5
法國,1979,40
法國,1980,61.3
法國,1981,105.3
法國,1982,108.9
法國,1983,144.3
